Trajectory,StartX,StartY,EndX,EndY,N_nodes,length,Prob_collision_Brute_force,Prob_collision_Brute_force_8_pix,Prob_collision_IDA,Expected Probability Collision,Prob_collision_real_world,Prob_collision_robotino_calibration_error,Prob_collision_robotino_lights_error,Risk,Prob_collision_robotino_object_detection_error
"[[111  80], [117  89], [123 101], [128 115], [131 120], [144 127], [144 147], [137 162]]",111,80,137,162,8,96.2479,0.4138,0.5389,0.6385,0.4721,,,,36.2233,
"[[ 76 137], [ 89 129], [108 118], [116 110], [113  89], [111  80]]",76,137,111,80,6,78.9653,0.2857,0.3884,0.1784,0.0244,,,,34.5277,
"[[68 53], [69 73], [72 95], [ 75 118], [ 72 144]]",68,53,72,144,5,91.5959,0.2941,0.4132,0.3529,0.0788,,,,34.5839,
"[[116 116], [121 110], [125 101], [130  95], [138  84]]",116,116,138,84,5,39.0708,0.0,0.0508,0.1393,0.0742,,,,31.1986,
"[[ 25 128], [ 45 136], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [162  69]]",25,128,162,69,13,207.2377,0.449,0.7184,0.6531,0.1248,,,,38.1786,
"[[131 125], [112 121], [ 99 120], [ 75 118], [ 51 123], [ 33 127]]",131,125,33,127,6,99.4925,0.0952,0.2245,0.1385,0.1364,,,,32.7933,
"[[138  45], [143  42], [172  47]]",138,45,172,47,3,35.2588,0.3333,0.3791,0.2223,0.1135,,,,34.2348,
"[[131 120], [144 127], [142 152], [132 179]]",131,120,132,179,4,68.6371,0.8462,0.9354,0.52,0.4868,,,,39.7834,
"[[ 77 161], [ 72 144], [ 71 123], [ 73 101], [77 85], [88 66]]",77,161,88,66,6,99.2815,0.2857,0.4148,0.2609,0.1772,,,,34.6984,
"[[122 186], [127 179], [138 165], [144 147], [153 122], [159 113], [164  90]]",122,186,164,90,7,106.305,0.32,0.4582,0.3816,0.2008,,,,35.2348,
"[[79  5], [60 51], [56 72], [50 81], [46 95], [ 42 103], [ 38 119], [ 37 133], [ 43 154]]",79,5,43,154,9,157.8366,0.9697,1.1749,0.9431,0.9306,,,,42.4394,
"[[170  71], [166  62], [153  54], [143  42], [130  35], [98 13]]",170,71,98,13,6,94.3315,0.4762,0.5988,0.3165,0.2691,,,,36.5637,
"[[147  84], [131  94], [130  95], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 54 146], [ 37 154], [ 31 157]]",147,84,31,157,12,138.591,0.3111,0.4913,0.3892,0.143,,,,36.0873,
"[[73 96], [ 63 111], [ 51 123], [ 41 139], [ 37 143]]",73,96,37,143,5,59.5231,0.0,0.0774,0.0695,0.0796,,,,31.3704,
"[[116 116], [113  89], [100  83], [88 66], [87 64]]",116,116,87,64,5,64.5287,0.3529,0.4368,0.3935,0.0603,,,,34.945,
"[[ 75 132], [ 51 123], [ 43 119], [ 28 116]]",75,132,28,116,4,49.8733,0.0,0.0648,0.1442,0.2412,,,,31.1553,
"[[65 63], [90 74], [100  83], [113  89], [123 101], [128 115], [131 120], [144 127], [142 152]]",65,63,142,152,9,131.2467,0.5152,0.6858,0.5421,0.5278,,,,37.6665,
"[[165  42], [171  49], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 46 152]]",165,42,46,152,14,206.3976,0.9434,1.2117,0.7983,0.7998,,,,43.2545,
"[[60 62], [81 66], [103  71], [117  80], [131  89], [161 103], [170 106]]",60,62,170,106,7,119.8179,0.04,0.1958,0.2812,0.1128,,,,32.5456,
"[[38 84], [50 81], [66 86], [91 82], [117  89], [138  84]]",38,84,138,84,6,102.9632,0.0,0.1339,0.2369,0.083,,,,31.8695,
"[[ 75 132], [ 71 123], [ 63 111], [38 99]]",75,132,38,99,4,52.0019,0.0,0.0676,0.0648,0.1276,,,,31.1732,
"[[118 177], [109 171], [102 168], [ 77 161], [ 55 153], [ 35 145]]",118,177,35,145,6,89.344,0.0,0.1161,0.0204,0.0759,,,,31.7551,
"[[81 66], [66 86], [61 92], [50 98], [ 45 101], [ 42 103], [ 36 109], [ 28 116]]",81,66,28,116,8,73.8921,0.0345,0.1306,0.2481,0.2806,,,,32.2387,
"[[ 43 119], [ 51 123], [ 68 145], [ 90 162], [ 92 168]]",43,119,92,168,5,70.8746,0.0,0.0921,0.023,0.0183,,,,31.4658,
"[[66 86], [62 96], [ 48 117], [ 45 136]]",66,86,45,136,4,55.2446,0.0,0.0718,0.0795,0.0775,,,,31.2004,
"[[ 61 126], [ 71 123], [ 87 115], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [166  62]]",61,126,166,62,12,166.7849,0.4889,0.7057,0.4184,0.1447,,,,38.104,
"[[121 194], [127 179], [138 165], [142 152], [144 127], [130 123], [110 117]]",121,194,110,117,7,108.0822,0.72,0.8605,0.5326,0.1844,,,,39.2538,
"[[ 18 129], [ 37 133], [ 45 136], [ 68 145]]",18,129,68,145,4,52.6587,0.0,0.0685,0.1065,0.0157,,,,31.1787,
"[[81 66], [88 66]]",81,66,88,66,2,7.0,0.0,0.0091,0.0953,0.0018,,,,30.5269,
"[[62 96], [64 95], [74 87], [91 82], [117  89], [131  94], [159  91], [178  94], [175  69], [172  75]]",62,96,172,75,10,153.8375,0.3243,0.5243,0.5815,0.1155,,,,36.0795,
"[[147  40], [130  35], [112  25], [81  5], [60 51], [63 58], [65 63], [69 73], [72 95]]",147,40,72,95,9,171.7447,0.697,0.9203,0.8803,0.8604,,,,39.8266,
"[[ 72 144], [ 68 145], [ 43 154]]",72,144,43,154,3,30.6938,0.0,0.0399,0.086,0.006,,,,30.8601,
"[[97 61], [90 74], [73 96]]",97,61,73,96,3,42.5677,0.2222,0.2775,0.2061,0.0328,,,,33.1841,
"[[113  89], [100  83], [81 66], [60 51], [81  5], [112  25]]",113,89,112,25,6,153.0784,0.7143,0.9133,0.8139,0.7152,,,,39.4407,
"[[98 13], [81  5], [60 51], [80 56], [104  58]]",98,13,104,58,5,114.0538,0.8824,1.0307,0.9231,0.8857,,,,40.6614,
"[[123  87], [119 108], [110 117], [ 92 114], [ 73 120]]",123,87,73,120,5,72.2786,0.5882,0.6822,0.2415,0.0189,,,,37.3655,
"[[142  77], [130  73], [107  68], [87 64], [63 58]]",142,77,63,58,5,81.321,0.0588,0.1645,0.2927,0.1043,,,,32.1422,
"[[50 81], [46 95], [ 42 103], [ 38 119], [ 33 127]]",50,81,33,127,5,49.4309,0.6471,0.7114,0.3671,0.367,,,,37.7631,
"[[127 162], [135 154], [154 137], [170 106], [173 100], [178  94], [175  69], [153  54], [156  59]]",127,162,156,59,9,143.8501,1.0,1.187,0.7345,0.276,,,,42.6252,
"[[ 61 126], [ 71 123], [ 94 127], [112 121], [130 123], [144 127]]",61,126,144,127,6,85.4302,0.0476,0.1587,0.3448,0.1591,,,,32.1987,
"[[135  28], [137  30], [153  54], [175  69], [178  94], [173 100], [170 106], [154 137], [127 153], [113 159], [ 92 168], [ 88 166]]",135,28,88,166,12,206.8189,0.8,1.0689,0.6904,0.0086,,,,41.5545,
"[[144 147], [144 127], [131 120], [128 115], [121 110], [119 108], [113  89], [100  83], [90 74], [63 66], [61 64]]",144,147,61,64,11,130.7115,0.4878,0.6577,0.6527,0.5323,,,,37.6558,
"[[129  85], [125  83], [117  80], [103  71], [88 66], [65 63]]",129,85,65,63,6,68.6657,0.0,0.0893,0.1012,0.0757,,,,31.5813,
"[[ 29 120], [ 48 117], [ 71 116], [ 87 115], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [172  47]]",29,120,172,47,13,207.5462,0.449,0.7188,0.5255,0.2822,,,,38.1812,
"[[165  42], [171  49], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 54 146], [ 43 154]]",165,42,43,154,15,210.0186,0.9474,1.2204,0.7893,0.7924,,,,43.459,
"[[147  84], [131  94], [130  95], [125 101], [119 108], [110 117], [ 94 127], [ 83 133], [ 71 140], [ 59 152], [ 45 163]]",147,84,45,163,11,130.1053,0.3171,0.4862,0.355,0.0133,,,,35.942,
"[[101  49], [97 61], [90 74], [73 96], [ 71 116], [ 66 132], [ 59 143]]",101,49,59,143,7,105.118,0.32,0.4567,0.3792,0.1742,,,,35.2249,
"[[99 23], [120  28], [143  42], [153  54], [175  69], [178  94], [173 100], [170 106], [166 118]]",99,23,166,118,9,143.1073,0.7273,0.9133,0.5047,0.1092,,,,39.8893,
"[[142  31], [147  40], [165  54], [171  66], [175  69], [178  94], [164  90], [138  84], [117  76]]",142,31,117,76,9,140.4107,0.5152,0.6977,0.7414,0.6487,,,,37.7435,
"[[130  35], [112  25], [81  5], [60 51], [56 72], [50 81], [49 88], [ 48 117], [ 45 136], [ 51 155]]",130,35,51,155,10,215.4925,0.8378,1.1179,0.9307,0.9164,,,,41.7376,
"[[131 184], [118 177], [109 171], [102 168], [ 77 161], [ 51 155]]",131,184,51,155,6,85.8421,0.0,0.1116,0.0003,0.0158,,,,31.7256,
"[[63 58], [80 61], [85 59], [125  65]]",63,58,125,65,4,63.0953,0.4615,0.5435,0.2236,0.1903,,,,35.886,
"[[117 165], [125 158], [135 154], [154 137], [170 106], [173 100], [178  94], [175  69], [171  66], [165  54], [147  40], [135  28], [132  21]]",117,165,132,21,13,187.2852,0.6939,0.9374,0.7442,0.013,,,,40.4624,
"[[ 93 162], [ 72 144], [ 71 123], [ 73 101], [78 81]]",93,162,78,81,5,91.3887,0.2353,0.3541,0.3502,0.0927,,,,33.9935,
"[[ 77 161], [ 92 168], [113 159], [127 153], [154 137], [170 106], [174  93]]",77,161,174,93,7,134.5035,0.48,0.6549,0.3217,0.1559,,,,37.0734,
"[[135 110], [131  94], [159  91], [178  94], [175  69], [153  54], [156  59]]",135,110,156,59,7,121.5254,1.0,1.158,0.6779,0.276,,,,42.1695,
"[[101 128], [ 87 115], [ 73 101], [64 95], [59 81], [50 58]]",101,128,50,58,6,89.2849,0.4762,0.5923,0.3667,0.3047,,,,36.5213,
"[[165  44], [171  49], [175  69], [178  94], [173 100], [159 109]]",165,44,159,109,6,77.8393,0.7143,0.8155,0.496,0.0988,,,,38.8085,
"[[121 118], [119 109], [113  89], [100  83], [88 66], [85 59]]",121,118,85,59,6,72.8424,0.2857,0.3804,0.4446,0.0919,,,,34.4763,
"[[ 61 126], [ 73 120], [ 75 118]]",61,126,75,118,3,16.2448,0.0,0.0211,0.0212,0.0769,,,,30.7387,
"[[ 87 115], [ 73 101], [73 96], [69 73], [65 63], [65 49]]",87,115,65,49,6,72.9146,0.4762,0.571,0.36,0.34,,,,36.3838,
"[[ 48 117], [ 61 126], [ 66 132], [ 72 144], [ 93 162], [102 168], [127 162], [143 157]]",48,117,143,157,8,117.9863,0.2759,0.4293,0.3019,0.1753,,,,35.0256,
"[[50 58], [50 81], [46 95], [ 42 103], [ 36 109], [ 28 116]]",50,58,28,116,6,65.6199,0.8095,0.8948,0.6036,0.3994,,,,39.6588,
"[[131 125], [112 121], [ 94 127], [ 89 129], [ 69 135], [ 45 136], [ 37 133], [ 18 138]]",131,125,18,138,8,116.8676,0.069,0.2209,0.2724,0.3694,,,,32.9451,
"[[ 43 119], [ 48 117], [ 71 116], [ 87 115], [108 118], [128 115]]",43,119,128,115,6,85.8751,0.0,0.1116,0.0536,0.1469,,,,31.7259,
"[[ 35 127], [ 48 117], [62 96], [74 81]]",35,127,74,81,4,60.8495,0.3846,0.4637,0.0853,0.007,,,,35.0974,
"[[127 102], [125 101], [113  89], [100  83], [78 81]]",127,102,78,81,5,55.6152,0.0,0.0723,0.0924,0.0103,,,,31.3376,
"[[110 117], [108 118], [ 89 129], [ 79 133], [ 59 143], [ 54 146], [ 37 154]]",110,117,37,154,7,81.9408,0.0,0.1065,0.0485,0.0609,,,,31.8269,
"[[181  62], [165  54], [147  40], [137  30]]",181,62,137,30,4,54.8342,0.0,0.0713,0.2835,0.0443,,,,31.197,
"[[123 101], [128 115], [131 120], [144 127], [144 147]]",123,101,144,147,5,55.4618,0.4706,0.5427,0.5022,0.3647,,,,36.047,
"[[56 72], [60 51], [81  5], [98 13], [135  28], [148  33], [172  47]]",56,72,172,47,7,172.3708,0.88,1.1041,0.6953,0.6753,,,,41.3955,
"[[142  77], [137  81]]",142,77,137,81,2,6.4031,0.0,0.0083,0.0921,0.005,,,,30.5219,
"[[132 115], [131  94], [159  91], [178  94], [175  69], [153  54], [143  42], [120  28]]",132,115,120,28,8,162.7722,1.0,1.2116,0.6578,0.331,,,,42.6502,
"[[129  79], [123 101], [108 118], [ 89 129], [ 72 144], [ 93 162]]",129,79,93,162,6,117.7598,0.4286,0.5817,0.4469,0.03,,,,36.2841,
"[[121 194], [122 186], [108 175], [ 92 168], [ 67 156], [ 59 152], [ 38 143], [ 18 138]]",121,194,18,138,8,123.469,0.8966,1.0571,0.2529,0.35,,,,41.2849,
"[[50 98], [61 92], [74 87], [91 82], [117  89], [131  94], [159  91], [178  94], [175  69], [163  41]]",50,98,163,41,10,189.0084,0.3243,0.57,0.6255,0.3189,,,,36.375,
"[[ 35 127], [ 33 127], [ 37 133]]",35,127,37,133,3,9.2111,0.5556,0.5676,0.1608,0.1565,,,,36.2411,
"[[ 90 173], [ 93 172], [102 168], [124 157], [144 147], [144 127], [130 123]]",90,173,130,123,7,94.5288,0.32,0.4429,0.3133,0.1056,,,,35.1359,
"[[ 45 163], [ 51 155], [ 77 161], [ 93 172]]",45,163,93,172,4,56.0998,0.0,0.0729,0.0133,0.0353,,,,31.2076,
"[[167  77], [175  69], [178  94], [173 100], [170 106], [154 137], [127 153], [113 159], [ 92 168], [ 77 161]]",167,77,77,161,10,171.9136,0.9459,1.1694,0.5862,0.0059,,,,42.4535,
"[[ 35 145], [ 40 125], [ 43 119], [46 95]]",35,145,46,95,4,51.5105,0.3077,0.3747,0.1939,0.1639,,,,34.2491,
"[[131 165], [127 179]]",131,165,127,179,2,14.5602,0.0,0.0189,0.0387,0.0584,,,,30.5905,
"[[112 121], [116 116], [121 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [166  62], [149  51]]",112,121,149,51,11,137.5119,0.3902,0.569,0.6414,0.1316,,,,36.736,
"[[171  66], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [121 110], [119 117]]",171,66,119,117,9,103.9284,0.8788,1.0139,0.6494,0.6048,,,,41.0766,
"[[ 45 163], [ 55 153], [ 66 132], [ 73 120], [ 75 118]]",45,163,75,118,5,54.5695,0.0,0.0709,0.0212,0.0769,,,,31.3288,
"[[50 98], [61 92], [74 87], [77 85], [103  71], [125  65], [133  62]]",50,98,133,62,7,90.9411,0.0,0.1182,0.1411,0.0006,,,,31.9025,
"[[81  5], [60 51], [81 66], [100  83], [113  89], [123 101], [128 115], [131 120], [144 127], [143 157]]",81,5,143,157,10,197.2857,0.9459,1.2024,0.779,0.7679,,,,42.6667,
"[[ 26 134], [ 37 143]]",26,134,37,143,2,14.2127,0.0,0.0185,0.1315,0.2286,,,,30.5875,
"[[ 75 118], [ 87 115], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [174  93], [187  68], [184  62]]",75,118,184,62,11,145.0278,0.4634,0.6519,0.4523,0.2217,,,,37.5319,
"[[ 19 124], [ 25 128], [ 45 136], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95]]",19,124,130,95,9,127.4596,0.1818,0.3475,0.2905,0.0672,,,,34.2973,
"[[ 46 145], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94]]",46,145,178,94,10,148.5767,0.3784,0.5715,0.2455,0.1803,,,,36.5768,
"[[124 157], [126 168]]",124,157,126,168,2,11.1803,0.0,0.0145,0.0145,0.0826,,,,30.5621,
"[[50 81], [49 88], [50 98], [ 63 111], [ 69 135], [ 72 144], [ 90 162], [ 92 168]]",50,81,92,168,8,101.5116,0.4828,0.6148,0.198,0.1837,,,,36.9583,
"[[130  95], [127 102], [131 120], [144 127], [144 147]]",130,95,144,147,5,60.8197,0.4706,0.5497,0.5402,0.4516,,,,36.092,
"[[ 43 119], [ 51 123], [ 68 145], [ 88 166], [ 93 172]]",43,119,93,172,5,73.5574,0.0,0.0956,0.0241,0.0283,,,,31.4884,
"[[166  62], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [110 117], [ 92 114], [ 71 116]]",166,62,71,116,11,154.492,0.9024,1.1032,0.7409,0.6784,,,,42.0058,
"[[ 25 128], [ 45 136], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [174  93], [187  68]]",25,128,187,68,12,193.1337,0.3333,0.5844,0.2941,0.3433,,,,36.7678,
"[[88  2], [81  5], [60 51], [56 72], [50 81], [46 95], [ 42 103], [ 38 119], [ 33 127]]",88,2,33,127,9,139.8077,0.9394,1.1212,0.9786,0.9342,,,,41.9847,
"[[175  69], [178  94], [173 100], [170 106], [154 137], [143 157], [137 162], [127 179], [121 194]]",175,69,121,194,9,141.0976,0.9697,1.1531,0.634,0.6215,,,,42.2988,
"[[181  62], [175  69], [178  94], [173 100], [170 106], [154 137], [127 153]]",181,62,127,153,7,115.1876,0.88,1.0297,0.6253,0.6336,,,,40.9151,
"[[138  45], [135  28], [98 13], [81  5], [60 51], [56 72], [50 81], [46 95], [ 42 103], [ 38 119], [ 35 127]]",138,45,35,127,11,207.2778,0.9756,1.2451,0.8281,0.817,,,,43.182,
"[[128 108], [121 110]]",128,108,121,110,2,7.2801,0.0,0.0095,0.0318,0.0652,,,,30.5293,
"[[113  89], [100  83], [81 66], [60 51], [81  5], [91  7]]",113,89,91,7,6,126.3847,0.7143,0.8786,0.676,0.651,,,,39.2164,
"[[138 180], [122 173], [111 170], [ 93 162], [ 72 144], [ 69 135], [ 63 111], [50 98], [49 88], [50 81], [51 83]]",138,180,51,83,11,148.1896,0.3902,0.5828,0.5084,0.3275,,,,36.8257,
"[[88 66], [77 85], [73 96], [ 71 116], [ 66 132], [ 67 156]]",88,66,67,156,6,94.5428,0.381,0.5039,0.2535,0.1343,,,,35.6126,
"[[43 91], [50 81], [56 72], [63 58]]",43,91,63,58,4,38.6757,0.0,0.0503,0.1634,0.1052,,,,31.0612,
"[[80 61], [88 66], [100  83], [113  89], [123 101], [128 115], [131 120], [144 127], [144 147], [135 154]]",80,61,135,154,10,127.0446,0.5405,0.7057,0.5601,0.5476,,,,38.0185,
"[[154 151], [143 157], [127 162], [102 168], [ 77 161], [ 51 155]]",154,151,51,155,6,107.6478,0.0,0.1399,0.132,0.0158,,,,31.9089,
"[[153 122], [161 103]]",153,122,161,103,2,20.6155,0.2,0.2268,0.0812,0.1783,,,,32.6433,
"[[163  43], [175  69], [178  94], [159  91], [131  94], [130  95], [125 101], [119 108], [108 118], [ 89 129], [ 79 133], [ 59 143]]",163,43,59,143,12,189.6062,0.9556,1.2021,0.8215,0.8125,,,,42.9674,
"[[38 99], [ 36 109], [ 37 133], [ 31 152]]",38,99,31,152,4,54.1437,1.0,1.0704,0.4173,0.3809,,,,41.2012,
"[[ 66 132], [ 75 132], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [170  71]]",66,132,170,71,12,156.4986,0.4889,0.6923,0.3982,0.1049,,,,38.0176,
"[[ 71 123], [ 72 144], [ 93 162], [102 168], [125 158]]",71,123,125,158,5,84.579,0.3529,0.4629,0.3356,0.1291,,,,35.1135,
"[[130  35], [112  25], [81  5], [60 51], [61 58]]",130,35,61,58,5,115.1208,0.6471,0.7968,0.7178,0.668,,,,38.3151,
"[[171  66], [175  69], [178  94], [164  90], [138  84], [128  67]]",171,66,128,67,6,91.146,0.8095,0.928,0.6274,0.5601,,,,39.8733,
"[[37 89], [44 71], [60 51], [81  5], [98 13], [120  28]]",37,89,120,28,6,140.9078,0.8571,1.0403,0.9767,0.7325,,,,40.7679,
"[[ 31 152], [ 54 146], [ 59 143], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [129  93], [131  89], [161 103]]",31,152,161,103,11,155.806,0.2439,0.4464,0.2832,0.2002,,,,35.4253,
"[[ 71 123], [ 72 144], [ 93 162], [102 168], [118 179]]",71,123,118,179,5,78.9156,0.3529,0.4555,0.2823,0.1269,,,,35.0659,
"[[69 73], [91 82], [113  89], [123 101], [128 115], [131 120], [144 127], [154 151]]",69,73,154,151,8,123.9389,0.2069,0.368,0.6064,0.4148,,,,34.3849,
"[[ 45 101], [ 42 103], [ 48 117], [ 61 126], [ 66 132], [ 72 144], [ 93 162], [102 168], [109 171], [118 177], [131 184]]",45,101,131,184,11,127.5477,0.2683,0.4341,0.2576,0.1777,,,,35.4321,
"[[158 111], [153 122], [144 147], [137 162]]",158,111,137,162,4,55.2067,0.3846,0.4564,0.2552,0.0929,,,,35.05,
"[[130  95], [123  87], [103  71], [88 66], [68 53]]",130,95,68,53,5,75.9078,0.3529,0.4516,0.1757,0.1046,,,,35.0406,
"[[160 113], [159 113], [154 137], [130 123], [112 121], [ 94 127], [ 89 129], [ 79 133], [ 59 143], [ 37 143]]",160,113,37,143,10,150.9008,0.3784,0.5746,0.5049,0.5032,,,,36.5963,
"[[113  89], [116 110], [108 118], [ 89 129], [ 76 137], [ 77 161]]",113,89,77,161,6,93.7666,0.381,0.5029,0.2273,0.0008,,,,35.606,
"[[112  25], [132  30], [163  41]]",112,25,163,41,3,53.5093,0.0,0.0696,0.0458,0.0513,,,,31.0518,
"[[149 155], [143 157], [127 162], [102 168], [ 90 162], [ 68 145], [ 59 143]]",149,155,59,143,7,99.2364,0.0,0.129,0.1842,0.0741,,,,31.9722,
"[[165  42], [171  49], [175  69], [178  94], [164  90], [138  84], [117  76]]",165,42,117,76,7,118.5107,0.88,1.0341,0.7137,0.6971,,,,40.943,
"[[117  76], [103  71], [77 85], [ 63 111], [ 51 123], [ 46 145]]",117,76,46,145,6,113.457,0.2857,0.4332,0.2702,0.0593,,,,34.8175,
"[[ 26 134], [ 33 127], [ 51 123], [ 73 120]]",26,134,73,120,4,50.5422,0.8462,0.9119,0.1193,0.1303,,,,39.6314,
"[[ 94 138], [102 129], [112 121], [119 109], [123 101], [125  83]]",94,138,125,83,6,65.7953,0.0,0.0855,0.1978,0.0947,,,,31.5572,
"[[128 184], [132 179], [142 152], [144 127], [131 120], [128 108], [126  89]]",128,184,126,89,7,106.5145,0.68,0.8185,0.6461,0.3563,,,,38.8402,
"[[113  89], [125 101], [127 102]]",113,89,127,102,3,19.2066,0.0,0.025,0.0155,0.0518,,,,30.7636,
"[[ 93 172], [102 168], [124 157], [144 147], [144 127], [131 120]]",93,172,131,120,6,91.5711,0.4286,0.5476,0.5128,0.1107,,,,36.0641,
"[[ 92 168], [ 67 156], [ 59 152], [ 54 146], [ 41 139], [ 18 129]]",92,168,18,129,6,84.3301,0.1905,0.3001,0.2678,0.3658,,,,33.6198,
"[[ 18 138], [ 22 138], [ 45 136], [ 69 135], [ 83 133]]",18,138,83,133,5,65.2498,0.0,0.0848,0.0539,0.0506,,,,31.4186,
"[[125 101], [130  95], [138  84]]",125,101,138,84,3,21.4117,0.0,0.0278,0.0275,0.0742,,,,30.7821,
"[[64 95], [ 63 111], [ 69 135], [ 72 144], [ 93 162], [102 168], [118 179]]",64,95,118,179,7,108.1485,0.24,0.3806,0.3025,0.1269,,,,34.4495,
"[[ 75 132], [ 74 119], [73 96], [69 73], [65 63], [63 58], [60 51], [81  5], [98 13]]",75,132,98,13,9,152.5317,0.5455,0.7438,0.6215,0.6072,,,,38.1486,
"[[187  68], [174  93], [164  90], [138  84], [117  76], [103  71], [87 64]]",187,68,87,64,7,120.1042,0.4,0.5561,0.5132,0.2497,,,,36.1516,
"[[172  47], [175  69], [178  94], [164  90], [138  84], [123  87], [100  83], [77 85]]",172,47,77,85,8,150.3556,0.8966,1.0921,0.7076,0.5606,,,,41.5108,
"[[ 31 152], [ 54 146], [ 59 143], [ 69 135], [ 89 129], [108 118], [116 110], [125 101], [130  95], [131  94], [159  91], [178  94], [175  69], [163  43]]",31,152,163,43,14,219.7188,0.4151,0.7007,0.4781,0.3006,,,,38.0782,
"[[131  89], [129  93], [125 101], [119 108], [110 117], [ 94 127]]",131,89,94,127,6,54.2318,0.1429,0.2134,0.107,0.0602,,,,32.8905,
"[[119 109], [128 115], [131 120], [144 127], [144 147], [125 158], [117 165], [111 170], [109 171]]",119,109,109,171,9,94.0434,0.7273,0.8496,0.5758,0.5197,,,,39.477,
"[[73 96], [77 85], [91 82], [113  89], [125 101]]",73,96,125,101,5,66.0799,0.0,0.0859,0.1068,0.0932,,,,31.4255,
"[[88  2], [81  5], [60 51], [56 72], [50 81], [46 95], [ 42 103], [ 36 109], [ 25 128], [ 20 128]]",88,2,20,128,10,149.321,0.9459,1.14,1.0087,0.9791,,,,42.2637,
"[[ 38 119], [ 45 136], [ 59 143]]",38,119,59,143,3,34.0373,0.0,0.0442,0.0069,0.0156,,,,30.8882,
"[[ 26 134], [ 38 143], [ 59 152], [ 67 156], [ 77 161], [102 168], [109 171], [127 179]]",26,134,127,179,8,111.2469,0.4483,0.5929,0.1021,0.1068,,,,36.6947,
"[[183  46], [167  71], [182  77], [165  86], [143  87], [119  72], [96 55], [91 49], [89 47]]",183,46,89,47,9,154.6366,0.9697,1.1707,0.6286,0.6161,,,,42.4126,
"[[157 118], [159 101], [147  94], [142  91], [130  81], [119  72], [105  65], [86 62], [63 50]]",157,118,63,50,9,127.5039,0.5152,0.681,0.5944,0.5881,,,,37.635,
"[[118 155], [ 99 165], [ 84 156], [ 77 153], [ 72 150], [ 58 138]]",118,155,58,138,6,70.8496,0.9524,1.0445,0.2031,0.0613,,,,41.1332,
"[[ 72 150], [ 68 148], [ 48 157]]",72,150,48,157,3,26.4038,0.0,0.0343,0.0824,0.0157,,,,30.824,
"[[ 62 149], [ 65 150], [ 91 140]]",62,149,91,140,3,31.0191,0.0,0.0403,0.0737,0.0233,,,,30.8628,
"[[ 48 157], [ 68 148]]",48,157,68,148,2,21.9317,0.0,0.0285,0.0707,0.0264,,,,30.6524,
"[[116 185], [128 167], [145 145], [137 125], [125 113], [124  92], [127  71]]",116,185,127,71,7,130.1844,0.72,0.8892,0.6739,0.4361,,,,39.4395,
"[[116 124], [115 108], [124  85]]",116,124,124,85,3,40.7294,0.0,0.0529,0.1646,0.1328,,,,30.9444,
"[[ 79 136], [ 76 114], [ 74 102], [75 80], [81 70], [85 62], [89 50]]",79,136,89,50,7,89.6471,0.4,0.5165,0.3305,0.2774,,,,35.8957,
"[[ 93 134], [ 83 123], [ 74 102], [64 77], [53 64]]",93,134,53,64,5,81.6686,0.3529,0.4591,0.335,0.2052,,,,35.089,
"[[64 77], [59 63], [57 54]]",64,77,57,54,3,24.0856,0.0,0.0313,0.0749,0.1021,,,,30.8046,
"[[147  94], [159 101], [162 114], [158 124]]",147,94,158,124,4,38.0044,0.3846,0.434,0.2915,0.092,,,,34.9054,
"[[122 162], [144 151], [157 146]]",122,162,157,146,3,38.5251,0.2222,0.2723,0.0661,0.0931,,,,33.1501,
"[[142 160], [124 166], [ 99 165], [ 84 156], [ 81 151], [ 67 137], [ 57 125], [ 43 103], [36 93]]",142,160,36,93,9,141.0203,0.4545,0.6378,0.4615,0.17,,,,37.141,
"[[ 58 138], [ 72 126], [ 83 123], [ 98 117]]",58,138,98,117,4,45.9963,0.0,0.0598,0.0783,0.0197,,,,31.1227,
"[[121 168], [127 165], [145 145], [137 125], [125 113], [124  92], [128  73]]",121,168,128,73,7,112.567,0.72,0.8663,0.6713,0.4273,,,,39.2915,
